id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
149,2357178,333030323334303639313032303030,0,732,0,"2018-07-03 08:40:31.000000",0,56.0,40.0,2
150,2357185,333030323334303639313032303030,0,733,0,"2018-07-03 08:40:40.000000",0,56.0,40.0,2
151,2357187,333030323334303639313032303030,0,734,0,"2018-07-03 08:40:48.000000",0,56.0,40.0,3
152,2357194,333030323334303639313032303030,13,735,0,"2018-07-03 08:40:58.000000",0,56.0,40.0,3
153,2357217,333030323334303639313032303030,0,735,0,"2018-07-03 08:42:13.000000",0,56.0,40.0,5
154,2357222,333030323334303639313032303030,0,736,0,"2018-07-03 08:42:39.000000",0,56.0,40.0,6
155,2357281,333030323334303639313032303030,0,738,0,"2018-07-03 08:43:50.000000",0,56.0,41.0,11
156,2357315,333030323334303639313032303030,0,739,0,"2018-07-03 08:44:29.000000",0,56.0,41.0,13
157,2357325,333030323334303639313032303030,0,740,0,"2018-07-03 08:44:40.000000",0,56.0,41.0,11
158,2357329,333030323334303639313032303030,0,741,0,"2018-07-03 08:44:53.000000",0,56.0,41.0,10
159,2357331,333030323334303639313032303030,0,742,0,"2018-07-03 08:44:57.000000",0,56.0,41.0,10
160,2357339,333030323334303639313032303030,0,743,0,"2018-07-03 08:45:09.000000",0,56.0,41.0,9
161,2357340,333030323334303639313032303030,0,744,0,"2018-07-03 08:45:19.000000",0,56.0,41.0,9
162,2357346,333030323334303639313032303030,0,745,0,"2018-07-03 08:45:23.000000",0,56.0,40.0,8
163,2357347,333030323334303639313032303030,0,746,0,"2018-07-03 08:45:35.000000",0,56.0,40.0,7
164,2357354,333030323334303639313032303030,0,747,0,"2018-07-03 08:45:43.000000",0,56.0,40.0,7
165,2357355,333030323334303639313032303030,0,748,0,"2018-07-03 08:45:52.000000",0,56.0,40.0,6
166,2357357,333030323334303639313032303030,0,749,0,"2018-07-03 08:46:00.000000",0,56.0,40.0,6
167,2357363,333030323334303639313032303030,0,750,0,"2018-07-03 08:46:09.000000",0,56.0,40.0,6
168,2357369,333030323334303639313032303030,0,751,0,"2018-07-03 08:46:14.000000",0,56.0,40.0,5
169,2357375,333030323334303639313032303030,0,752,0,"2018-07-03 08:46:22.000000",0,56.0,40.0,5
170,2357377,333030323334303639313032303030,0,753,0,"2018-07-03 08:46:31.000000",0,56.0,40.0,4
171,2357383,333030323334303639313032303030,0,754,0,"2018-07-03 08:46:43.000000",0,56.0,40.0,4
172,2357385,333030323334303639313032303030,0,755,0,"2018-07-03 08:46:49.000000",0,56.0,40.0,4
173,2357388,333030323334303639313032303030,0,756,0,"2018-07-03 08:46:57.000000",0,56.0,40.0,4
174,2357391,333030323334303639313032303030,0,757,0,"2018-07-03 08:47:06.000000",0,56.0,40.0,3
175,2357402,333030323334303639313032303030,0,759,0,"2018-07-03 08:47:26.000000",0,56.0,40.0,3
176,2357404,333030323334303639313032303030,0,760,0,"2018-07-03 08:47:34.000000",0,56.0,40.0,3
177,2357416,333030323334303639313032303030,0,761,0,"2018-07-03 08:47:45.000000",0,56.0,40.0,2
178,2357429,333030323334303639313032303030,0,763,0,"2018-07-03 08:48:00.000000",0,56.0,40.0,2
179,2357438,333030323334303639313032303030,0,764,0,"2018-07-03 08:48:09.000000",0,56.0,40.0,2
180,2357455,333030323334303639313032303030,0,766,0,"2018-07-03 08:48:27.000000",0,56.0,40.0,2
181,2357461,333030323334303639313032303030,0,767,0,"2018-07-03 08:48:35.000000",0,56.0,40.0,2
182,2357471,333030323334303639313032303030,0,768,0,"2018-07-03 08:48:43.000000",0,56.0,40.0,2
183,2357484,333030323334303639313032303030,0,769,0,"2018-07-03 08:48:52.000000",0,56.0,40.0,2
184,2357503,333030323334303639313032303030,0,771,0,"2018-07-03 08:49:17.000000",0,56.0,40.0,2
185,2357514,333030323334303639313032303030,0,772,0,"2018-07-03 08:49:26.000000",0,56.0,40.0,2
186,2357522,333030323334303639313032303030,0,773,0,"2018-07-03 08:49:35.000000",0,56.0,40.0,3
187,2357532,333030323334303639313032303030,0,774,0,"2018-07-03 08:49:44.000000",0,56.0,40.0,3
188,2357539,333030323334303639313032303030,0,775,0,"2018-07-03 08:50:07.000000",0,56.0,40.0,3
189,2357546,333030323334303639313032303030,0,776,0,"2018-07-03 08:50:16.000000",0,56.0,40.0,4
190,2357549,333030323334303639313032303030,0,777,0,"2018-07-03 08:50:25.000000",0,56.0,40.0,4
191,2357551,333030323334303639313032303030,0,778,0,"2018-07-03 08:50:33.000000",0,56.0,40.0,4
192,2357557,333030323334303639313032303030,0,779,0,"2018-07-03 08:50:42.000000",0,56.0,41.0,4
193,2357559,333030323334303639313032303030,0,780,0,"2018-07-03 08:50:54.000000",0,56.0,40.0,5
194,2357562,333030323334303639313032303030,0,781,0,"2018-07-03 08:51:03.000000",0,56.0,40.0,5
195,2357563,333030323334303639313032303030,0,782,0,"2018-07-03 08:51:09.000000",0,56.0,40.0,6
196,2357571,333030323334303639313032303030,0,783,0,"2018-07-03 08:51:18.000000",0,56.0,40.0,6
197,2357578,333030323334303639313032303030,0,784,0,"2018-07-03 08:51:26.000000",0,56.0,41.0,7
